id_str,name,screen_name,description
375793268,Steve Kraus,TEAMKRAUS,"I'm Steve Kraus, candidate for congress in the 9th Congressional District of Ohio."
2814433071,Desiree Tims for Congress,TimsDesiree,"Former #Oh10 Democratic Nominee. Granddaughter of sharecroppers living the dream. Passionate about community, justice, and hope."
927880738653069312,Eric Moyer,esotericmoyer,"Free agent scientist. Former scientist @NASAAmes, former scientist @univofdayton, former candidate for Congress ran on #M4A and #GND. Science, gaming, politics."
124520677,John Anderson,JohnAndersonOH7,"Running for the U.S. House of Representatives, OH-7. I stand for Smaller Government, Lower Taxes, More Personal Freedom."
380498919,Mike Turner,MikeTurnerOH,"I represent Ohio's 10th Congressional District, including all of Montgomery & Greene counties & part of Fayette. Check back here for updates on my campaign."
951152525079662592,Theresa Gasper - Candidate Whisperer,GasperforOH10,"Former Dem cand. for US House of Reps #OH10; current candidate whisperer-I talk them off the ledge; Proud Daytonian & Dem, who wants to make a difference."
4307845348,Beverly4Congress 2016/18,BevGoldstein,"Dr. Beverly Goldstein. KAG. PhD Audiologist. Navy Wife-30 yrs. Mom. Dtr of Holocaust Survivors vs Marcia Fudge 2016-18, a mega supporter of Illiteracy & Poverty"
1188662444564107264,Jonah Schulz,JonahSchulzOH,Fighting for the individual freedom of every American. Former candidate for U.S. House of Representatives 🇺🇸 #USA▪️#OH▪️#CLE
1161443218271166464,Laverne Jones Gore For Congress OH-11,GoreLaverne,"Congressional Candidate #OH11, businesswoman, Marine wife, West Point mom, 🇺🇸 Running to thrive my district. Psalm 23"
336924420,Tariq shabazz,Tariq_Shabazz_,"Husband, US Navy Veteran, OH-11 Candidate, dedicated to creating equal opportunity and correcting all democratic deficits #ForThePeople"
14147348,Alaina Shearer,alainashearer,"Fearless agent of change, Founder of @togetherdigital and candidate for Congress in Ohio District 12 (D). Follow @votealaina2020 or https://t.co/dUONBQvdEL"
816427504042905604,Brandon Grisez,GrisezOhio,Lifelong Ohioan. US Marine. Fan of all Columbus and Cleveland Sports. Running for US Congress for #OH12. RTs or Military Images/Info ≠ Endorsement.
262181999,Melissa Schiffel,DelCoProsecutor,The Delaware County Prosecutor's Office prosecutes all felony crimes that occur in Delaware County along with all juvenile crimes and civil/township matters.
37824038,Danny O'Connor,dannyoconnor1,Husband to Spenser. Proud Franklin County Recorder. Catholic. Overtweet about sports.
3020640495,Doug Wilson,DougWilsonOH12,"Concerned & caring citizen of OH12;Husband,parent,grandparent;45+ years in healthcare;former mayor&councilman;recent candidate for Congress;stained glass artist"
4593482560,Albertson4Congress,edforcongress12,
730885745712336897,Manchik for Congress,Joe_Manchik,I am the @OhioGreenParty candidate running for the United States House of Representatives in Ohio's 12th Congressional District. #OH12
31300752,John Russell,JCruss,Old account. 👉@heyjohnrussell
2329430281,Kevin Bacon for Congress,BaconForOH,Campaign account for Kevin Bacon for Congress in Ohio's 12th Congressional District. Paid for by Bacon For Congress
956846327702355968,Lawrence Cohen,CohenOH12,
954458433952145409,Melanie Leneghan,MelanieLeneghan,I’m running for Congress to be a strong conservative voice for the people of Ohio's 12th district - Paid for by Melanie Leneghan for Congress
254339931,Pat Manley for Ohio,PatManleyOhio,"Father of two sons, architect, cancer survivor, small business owner, college instructor and candidate for State Representative in HD 24."
954739703126863873,Tim Kane for Congress (OH12),kaneforohio,"Tim Kane is a Columbus native, conservative economist, and veteran USAF intelligence officer. Vote Tim Kane for Congress on May 8th!
PAID FOR BY KANE FOR OHIO"
2922066799,Zach Scott,ZachScottOhio,
431049342,Christina Hagan,RepHagan,"Mother of 3, Wife, Christian, Pro-Trump, Conservative, Four Term Legislator in OH, @Forbes 30 under 30, Candidate For Congress - OH13 https://t.co/nchH2GkpG4"
60475992,Chris DePizzo,chrisdepizzo,"Dad | VC/M&A (OH+NY) | @PennLaw + @saintpeteruniv + @MooneyFamily grad | Northeast Ohio born & raised | Buckeyes, Browns, Tribe, & Cavs"
3472073657,Duane Hennen D.D.🇺🇸,DrDHennen,"President/CEO Steel Valley Rising Initiative 
Christian, Conservative, 
#NRA.  #1A  #2A
#ProLife  #MAGA. #KAG #BackTheBlue
#Trump2020"
944407783201492992,Lou Lyras,lyrascongress,We need a fiscal Republican who will focus on reviving our region with jobs and sensible spending. Help me remove Tim Ryan.
842563650103721986,Betsy Rader,BetsyRaderOH,Employment Lawyer. Proud Mother.  Community Volunteer. Graduate @YaleLawSch and @OhioState.  No longer a political candidate; no longer checking Twitter.
852254332972134400,Evan Carp,CarpForCongress,Small business owner running for Congress in 2018.  Anti-Establishment candidate with fresh ideas to revitalize our state.
1143052930473496578,Hillary O'Connor Mueri,HillaryMueri,Rhymes with Fury. #FlyNavy combat vet. Attorney. Avid knitter. #TeamToro.
461194927,Matt Lynch,MattLynch4Ohio,"Former Ohio State Representative, Radio Show Host, Attorney, Husband of Laura, Dad of 5 daughters, Gdad to 10, Tweets from Matt signed - ML"
815997668757479424,Aaron Minnick,Minnick4Rep,
1188224748494434304,Joel Newby for Congress,NewbyOH15,"Your hometown choice fighting for green jobs, rural internet, and universal healthcare. #FlipThe15th #PeoplePowered #NoCorporatePACs Donate today ⬇️"
31034167,Rick Neal,Rick_Neal,"Proud Husband, Dad, Activist. Peace Corps Vol, Int'l Relief Worker, 2018 Candidate for Congress in #OH15, 2020 Biden-Harris. He/Him 🇺🇸🏳️‍🌈"
904861931638542338,Rob Jarvis,robjarvis4ohio,Democratic Candidate for Congress (OH-15)   I believe that its time for ordinary people to stand together and do something extraordinary!
845749829401821184,Aaron Paul Godfrey,GodfreyForOH16,"From nothing, now a physicist & nominee for Congress. Let's get proper representation for the 16th. Donate now ▶ https://t.co/lx6a1gxeXg"
2195285275,Grant Goodrich,GGGoodrich,"Director, GLEI @ CWRU. Husband & Gabriel's Dad; Marine Vet & Patriot; Farm Owner; Energy & Environmental Professional; Browns Fan. USNA & SIPA. Tweets are mine."
4171822703,Jennifer Herold,herold4OH,Mom. Wife. Daughter. Healthcare Professional. Professor. Former Political Candidate. Advocate for Women in Politics.
949022833165946880,Mark Dent,MDent4Congress,I am a U.S. Army JAG Veteran
958250467863166977,Susan Moran Palmer,SusanPalmerOH,Mom. Healthcare Professional. Democrat.
936277033876971521,TJ Mulloy,TJMulloyOH,Qualified Financial Advisor | Member Laborers' Local 310 | VC Democrats Abroad IRL @DemsIRL
506050549,Tom Patton,TomPattonOH,"State Representative Ohio's 7th District   
Paid for by Friends of Tom Patton"
966040413877559296,Amanda Douglas,Amanda4Congress,"Ran for Congress from Oklahoma, then just... ran from Oklahoma."
809953674684403714,Andy Coleman,AndyColeman79,Christ follower. Happy husband. Proud dad. Veteran. Grateful American. Servant of persecuted Christians near and far.
58291904,Danny Stockstill,dannystockstill,follower of christ husband to sarah father of co and brin
29867540,Gwendolyn Fields,PetroBillions,"New perspective:  the journey, not the destination."
1092757885,Jim Bridenstine,RepJBridenstine,Congressman Jim Bridenstine has the honor of serving Oklahoma's First Congressional District.
1186840783732793344,Kojo Asamoa-Caesar,kojo4thepeople,"Husband, girldad, son of immigrants, law school grad, kindergarten teacher, school principal, nonprofit exec, former Democratic nominee for Congress."
987425656047898628,Mark Keeter,Keeter4Congress,I am a candidate for U.S. Representative from Oklahoma's District 1
40406009,Nathan Dahm,NathanDahm,Nathan is a Constitutional Conservative Republican currently serving in the Oklahoma State Senate and ranked the most Conservative Senator in Oklahoma.
972958810498363393,Tim Gilpin - Putting People First,Gilpin4Congress,
854049441338339328,Tim Harris,VoteTimHarris,"Tim’s approach is simple and built on the same values that guide his daily life:
faith, loyalty, honor, honesty and integrity."
823927931982479360,Brian Jackson,JacksonforCong,
942989607813165057,Danyell Lanier,danyell_lanier,Oklahoman|Cherokee|Navy Veteran| | She/Her | 🌊 🌊 🌊
984100734403776513,Elijah McIntosh for Congress,EliForCongress,
1069820899,Jarrin Jackson 🇺🇸,JarrinJackson,"✝️ - 🇺🇸 - bible-believing Christian, combat vet, patriarch, & family-first patriot."
711593556599635968,John McCarthy,Dis2OKRace,
612838216,Frankie Robbins,RobbinsforOK,SUPPORT FRANKIE ROBBINS FOR OKLAHOMA'S THIRD CONGRESSIONAL DISTRICT. DEMOCRATIC PRIMARY IS JUNE 26. VOTE ROBBINS!
1641249444,Murray Thibodeaux,MurrayThibodeau,This is my personal account. Go to @murray4congress for my Congressional Candidate account.
1228164767870619649,Zoe Midyett (D) Fighting for Fairness in Oklahoma,ZoeCongress2020,"Midship Pipeline/Cheniere Energy must make good on the damages done to Oklahoma land!
All children in our great land should have equal opportunities to excel."
4735729783,TaylorForOklahoma,Taylor4Oklahoma,"If you change perception, you can change performance."
930529778804826112,Mary Brannon,ElectBrannon,Mary Brannon is Running for Congress against Tom Cole for Oklahoma's District 4. Fb Brannon4Congress or Fb Mary Brannon
223211460,eddie porter,eddiep00,Activist and consultant for Criminal Justice Reform.
950497913116995584,Elysabeth Britt,ElysabethBritt,"Former U.S. Senate Candidate, HR Professional (PHR/SHRM-CP), Marine Corps Vet, Parent of 3, transgender in this matrix, she/her"
721836863456055296,Leona Kelley-Leonard,Leona_CD5OK,
32289500,Stephanie Bice,stephaniebice,Wife | Mother | Congresswoman-Elect for Oklahoma’s 5th Congressional District
2966758114,Rep. Steve Russell,RepRussell,Father of five. Small business owner. Retired Lieutenant Colonel. Proudly serving the Fifth District of Oklahoma in Congress.
1119276909278453761,Terry Neese,NeeseForOK5,"3rd generation Oklahoman, conservative Republican, entrepreneur, small business advocate, & candidate for Oklahoma's 5th Congressional District seat. #TeamNeese"
125497871,Guild for Congress,guild4congress,Tom Guild is a progressive leader and good government advocate in Oklahoma #UniteProgressives
51738181,tyson  todd meade,DadaCamelTalk,"Robbing the Nuclear Family out now. Listen here - https://t.co/IMeZriY05d Follow @smokeMeade my luxury cannabis brand. If it's not Meade, it's just weed."
944147084697001984,Ricky Barajas,BarajasCampaign,Running for Oregon's 1st Congressional District 2020
1211328815936393217,Alex Spenser,spenser2020,"Nominee
US House of Representatives
Oregon's 2nd Congressional District.
Working to end the Divisiveness in Congress, Join us on the Path to Unity!"
878119205291180032,Jamie McLeod-Skinner for Oregon,JamieforOregon,Running for Oregon Secretary of State. Rural Democrat. Oregonians working together. #JamieForOregon
949667146476478467,Dr. Jenni Neahring,drjennineahring,"I'm a physician living in beautiful Bend, OR."
38613459,Randy Pollock,TexasRazor,"Former USAF Systems Analyst.... 
now, Oregon politician"
362232060,Climate Consult,RazMason,"https://t.co/cX3agcJzT5 (nonpartisan podcast). Climate change & STEM educator, chaplain, resilience trainer. Opinions my own. Stay courageous & curious."
925491635995201537,Tim White,TimWhiteORCD2,
1235984397368606720,joanna4oregon,joanna4oregon,"I will support and defend our Constitution, the President, the Rule of Law and Justice for All.  Please visit my website at https://t.co/11k6spTGNI."
1134866636,Marc Koller,MarcKoller2,living in Portland  me and Louise
3525046823,Alek Skarlatos,alekskarlatos,Oregonian and former Oregon National Guardsman running for Congress #OR04
1147223967020642304,Doyle Canning,Canning4Oregon,Climate realist. Progressive leader. Political insurgent. Mother of two. Ran for Congress 2020. Forever in the fight. (she/her) #BlackLivesMatter Views mine.
970469462309617665,Michael Polen,Polen4Congress,"Father, husband, Realtor, running for Oregon’s 4th. Try something new vote Polen for you!"
702750007435264001,Stefan G. Strek,realStefanStrek,"Pres & CEO TLSCommunities 
#Politician #Republican #Artist
#Oregon #Alumni
#Congress #America
#Mayor #Eugene #2a #Conservative 
#Women #Trump #Catholic #Charity"
1137946655058096128,Amy Ryan Courser,AmyforOregon,Amy Ryan Courser (R) I am the conservative nominee for the United States House of Representatives in Oregon's beautiful 5th Congressional District.
2696825456,Kurt Schrader,VoteSchrader,
1671902456,Mark Callahan,Callahan4Oregon,"#Christian, #Conservative, #Republican"
922681285276872704,Robert Reynolds,rob4congress18,
1134380401143754752,Andy Meehan,MeehanCampaign,Andy scored a huge moral victory in the June 2020 Republican congressional primary against Never Trump Fake Republican RINO Brian Fitzpatrick and his cronies.
186552155,jeff,NA,"life's a garden, dig it"
1151325340364627970,Christina Finello,FinelloForPA,"Attorney, wife, mother of two girls, clinical psychologist, running for Congress in #PA01. She/her. Fighting tooth and nail for working families."
942147605563355137,Dean Malik for Congress 2018,dmforcongress,"Pro-life, Pro-Trump, Pro-2nd Amendment! #MAGA"
1148283176864899072,Debbie Wachspress,votewachspress,"Candidate for US Congress, PA-01. Mom to 3 humans & 1 pup. Pennsbury School Board Director. Advocate. Dedicated public servant. A voice you can count on!"
1623716108,Rachel Reddick,RachelReddick,Feminist. Veteran. Wife. Mother. Former congressional candidate in PA-1.
955860004833284096,Scott Wallace,ScottWallacePA,"Foundation executive, attorney, 2018 congressional candidate. Bucks County born and raised. #PA01"
56377434,Steve Bacher - Democratic Committeeperson LMT,SteveBacher,Democratic activist and long-time Bucks County resident.
1225255296358133765,David Torres,Torres4cong,"Hello, my name is David Torres and I'm running for Congress. It is my goal to improve the district and make the quality of life in it better for everyone."
951642393589231616,Michele For Congress,Michele4Me,"Campaign account of Michele Lawrence, running for U.S. House, 2nd Congressional District of PA."
952198396101713920,Kevin R. Johnson,kjforcongress,
1094602974087860224,Friends of Michael Harvey,FriendsHarvey,A man of the Times...A person of the Future.
940410400486707201,Dan David,DanDavidPA,"Husband, Son. Accomplished biz exec. & entrepreneur. Fighting to stop Chinese firms from defrauding U.S. investors. Const. Conserv."
888446958452391936,Joseph M. Hoeffel,joehoeffel,"Progressive Candidate for Congress in PA-04. 
Former US Congressman, PA State Rep, and County Commissioner. Lawyer, Author, and Educator"
227426714,Kathy Barnette,Kathy4Truth,👍1st Black person 2 run 4 Congress in County🇺🇸 ~ #VETERAN ~ God + Family + Country ~ AUTHOR:  https://t.co/glRQMLrN4v
967841184591826948,Mary Jo Daley for Congress,mjd4congress,
64304983,Shira Goodman,SJGoodman,"Public Policy Advocate, Regional Dir. @ADLPhiladelphia, Proud Michigan Alum. Tweets are my own, retweets are not endorsements."
959443347478843392,Ashley Lunkenheimer for Congress,ALunkenheimerPA,"Mother of 3, Former Assistant US Attorney & Health Care Advocate, All-American Rugby player, candidate for Congress in PA’s 5th District."
155372602,Dan Muroff,danmuroff,Candidate for Congress in Pennsylvania's 5th Congressional District
1214624375091204107,Dasha Pruett,DashaPruett,Dasha is a Republican Candidate running for the PA-5 US Congressional Seat Nov 3 2020. Please visit our website for more info https://t.co/ulssVtMDSS
33545702,𝖣𝖺𝗏𝗂𝖽 𝖶𝖾𝗋𝗍𝗂𝗆𝖾,dwertime,I head POLITICO's China coverage.
