created_at,id_str,user__id_str,user__screen_name,collection_date,soft_intervention,hard_intervention,soft_intervention_label,soft_intervention_url,hard_intervention_text,hard_intervention_action_label,hard_intervention_url
2020-11-30 20:02:26,1333501662925709312,1214272615021285381,AC4Congress2020,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 01:13:54,1333217660562116608,1214272615021285381,AC4Congress2020,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 19:13:39,1333489387393359873,1214272615021285381,AC4Congress2020,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 19:50:14,1333498592602976256,1214272615021285381,AC4Congress2020,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 18:52:38,1333484097914642433,1214272615021285381,AC4Congress2020,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 19:00:18,1333486026866757632,2400005258,AftabPureval,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 01:10:04,1333216696052707330,2400005258,AftabPureval,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 00:40:31,1333209256380731393,41017380,AlanGrayson,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 14:54:26,1333424151751774209,41017380,AlanGrayson,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:49:36,1333453137269514240,1203799585841266688,Alison4Congress,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 20:59:10,1333515942370807814,1203799585841266688,Alison4Congress,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:56:33,1333454885178601472,1203799585841266688,Alison4Congress,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 20:54:22,1333514733438316547,25919401,AllenLEllison,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 14:53:44,1333423975775543297,25919401,AllenLEllison,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 23:27:17,1333553216328507395,25919401,AllenLEllison,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 20:50:43,1333513813774184448,25919401,AllenLEllison,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 19:26:12,1333492544538341380,25919401,AllenLEllison,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 18:53:08,1333484223525695489,25919401,AllenLEllison,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 19:04:13,1333487014742790144,25919401,AllenLEllison,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:49:54,1333453209004888066,25919401,AllenLEllison,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 14:36:24,1333419614600978435,1137946655058096128,AmyforOregon,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 17:12:57,1333459012097085444,2991360032,AndyBeshearKY,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 19:07:00,1333487712138006529,2991360032,AndyBeshearKY,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:10:07,1333443200653123592,534533727,Ann_Ashford,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 22:02:27,1333531868331986947,27915028,AntonioSabatoJr,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 07:52:51,1333318056236503040,27915028,AntonioSabatoJr,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 07:40:12,1333314873338499073,27915028,AntonioSabatoJr,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 02:37:36,1333238722431766531,27915028,AntonioSabatoJr,2020-12-02 00:00:00,False,False,,,,,
2020-11-30 07:50:53,1333317561598009345,27915028,AntonioSabatoJr,2020-12-02 00:00:00,False,False,,,,,
2020-11-30 22:51:59,1333544332192780289,27915028,AntonioSabatoJr,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 14:36:29,1333419634591141888,27915028,AntonioSabatoJr,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 22:17:44,1333535711006498818,269992801,AsaHutchinson,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:04:00,1333441659233820673,1021216905795899392,AugustPfluger,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 01:39:55,1333224206927077377,31013444,AyannaPressley,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 01:13:47,1333217628463255555,31013444,AyannaPressley,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 19:08:00,1333487964379344905,31013444,AyannaPressley,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 04:21:57,1333264983489196032,31013444,AyannaPressley,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 00:06:01,1333200574666379265,31013444,AyannaPressley,2020-12-02 00:00:00,False,False,,,,,
2020-11-30 19:40:59,1333496267264188418,31013444,AyannaPressley,2020-12-02 00:00:00,False,False,,,,,
2020-11-30 19:38:55,1333495745530507267,414436134,BLeeForCongress,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 21:48:01,1333528236299530247,414436134,BLeeForCongress,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 20:46:01,1333512631752273926,414436134,BLeeForCongress,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 22:35:16,1333540126039924747,1117898546055761920,BarnettforAZ,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 16:22:20,1333446271512809473,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 23:39:35,1333556311871590400,1117898546055761920,BarnettforAZ,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 03:33:25,1333252769277485056,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 04:28:16,1333266571133849600,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 12:38:13,1333389871860363264,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 17:06:01,1333457267593777155,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 01:05:30,1333215542908506112,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 23:58:12,1333560995705479168,1117898546055761920,BarnettforAZ,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 23:28:07,1333553425104183299,1117898546055761920,BarnettforAZ,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 17:52:28,1333468955567157248,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 23:58:54,1333561170922450945,1117898546055761920,BarnettforAZ,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 12:35:08,1333389098204196865,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 23:16:28,1333550491792531465,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:31:10,1333448496607879169,1117898546055761920,BarnettforAZ,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 03:06:03,1333245884172267521,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 03:08:27,1333246487829106689,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:16:10,1333444722556358658,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 03:26:33,1333251039269629952,1117898546055761920,BarnettforAZ,2020-12-02 00:00:00,False,False,,,,,
2020-11-30 05:49:09,1333286928507170818,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 23:28:35,1333553543031164931,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 17:33:13,1333464110684643331,1117898546055761920,BarnettforAZ,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 14:13:23,1333413822896480261,82453460,BennieGThompson,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 23:26:20,1333552974837272577,216776631,BernieSanders,2020-12-02 00:00:00,False,False,,,,,
2020-11-30 02:05:48,1333230720119169026,216776631,BernieSanders,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 16:58:10,1333455291774603266,216776631,BernieSanders,2020-12-04 00:00:00,False,False,,,,,
2020-11-30 19:21:13,1333491291762667523,216776631,BernieSanders,2020-12-02 00:00:00,False,False,,,,,
2020-11-30 17:34:24,1333464411584032774,828997388920619008,BetsyDeVosED,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 20:36:33,1333510250796867585,516880804,BettyMcCollum04,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 18:42:45,1333481610721849350,947934725271846912,Biggan4Congress,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 21:19:16,1333520999795535880,1152598802873880576,BillHagertyTN,2020-12-03 00:00:00,False,False,,,,,
2020-11-30 15:31:19,1333433434346287104,1152598802873880576,BillHagertyTN,2020-12-03 00:00:00,False,False,,,,,
