created_at,id_str,user__id_str,user__screen_name,collection_date,soft_intervention,hard_intervention,soft_intervention_label,soft_intervention_url,hard_intervention_text,hard_intervention_action_label,hard_intervention_url
2021-01-21 23:54:57,1352404347745923073,1214272615021285381,AC4Congress2020,2021-02-09 00:00:00,False,False,,,,,
2021-01-21 19:15:28,1352334015005675535,1214272615021285381,AC4Congress2020,2021-02-14 00:00:00,False,False,,,,,
2021-01-21 15:39:23,1352279632867958789,1214272615021285381,AC4Congress2020,2021-02-14 00:00:00,False,False,,,,,
2021-01-21 21:55:40,1352374328436912128,1214272615021285381,AC4Congress2020,2021-02-13 00:00:00,False,False,,,,,
2021-01-21 14:42:09,1352265231297351681,1214272615021285381,AC4Congress2020,2021-02-10 00:00:00,False,False,,,,,
2021-01-21 21:45:29,1352371766497312772,1214272615021285381,AC4Congress2020,2021-02-23 00:00:00,False,False,,,,,
2021-01-21 00:05:50,1352044698739859458,1214272615021285381,AC4Congress2020,2021-02-15 00:00:00,False,False,,,,,
2021-01-21 19:27:20,1352336997831106566,1214272615021285381,AC4Congress2020,2021-02-13 00:00:00,False,False,,,,,
2021-01-21 19:14:23,1352333738261282820,1214272615021285381,AC4Congress2020,2021-02-16 00:00:00,False,False,,,,,
2021-01-21 00:46:28,1352054922032852993,1214272615021285381,AC4Congress2020,2021-02-14 00:00:00,False,False,,,,,
2021-01-21 14:58:55,1352269450599411712,1214272615021285381,AC4Congress2020,2021-02-11 00:00:00,False,False,,,,,
2021-01-21 23:50:45,1352403289497870340,274440617,ACampaNajjar,2021-02-14 00:00:00,False,False,,,,,
2021-01-21 23:50:45,1352403291746000901,274440617,ACampaNajjar,2021-02-14 00:00:00,False,False,,,,,
2021-01-21 23:50:44,1352403285819404288,274440617,ACampaNajjar,2021-02-09 00:00:00,False,False,,,,,
2021-01-21 23:50:45,1352403290659680260,274440617,ACampaNajjar,2021-02-11 00:00:00,False,False,,,,,
2021-01-21 04:42:52,1352114415538204676,274440617,ACampaNajjar,2021-02-22 00:00:00,False,False,,,,,
2021-01-21 03:14:56,1352092285438226434,138203134,AOC,2021-02-08 00:00:00,False,False,,,,,
2021-01-21 05:57:14,1352133130967281666,138203134,AOC,2021-02-11 00:00:00,False,False,,,,,
2021-01-21 05:37:19,1352128118035722240,138203134,AOC,2021-02-08 00:00:00,False,False,,,,,
2021-01-21 03:13:24,1352091901470629899,138203134,AOC,2021-02-09 00:00:00,False,False,,,,,
2021-01-21 03:19:19,1352093388481441793,138203134,AOC,2021-02-09 00:00:00,False,False,,,,,
2021-01-21 20:04:11,1352346272229957637,1262017122,Abby4Iowa,2021-02-14 00:00:00,False,False,,,,,
2021-01-21 22:24:16,1352381525363470339,1262017122,Abby4Iowa,2021-02-13 00:00:00,False,False,,,,,
2021-01-21 00:16:19,1352047336151801861,566806945,AdrBell,2021-02-11 00:00:00,False,False,,,,,
2021-01-21 22:55:38,1352389419131523073,1173297636,AjaLBrown,2021-02-12 00:00:00,False,False,,,,,
2021-01-21 19:33:49,1352338629159346176,1173297636,AjaLBrown,2021-02-11 00:00:00,False,False,,,,,
2021-01-21 02:26:35,1352080118009663488,870453485984129028,AjaforCongress,2021-02-18 00:00:00,False,False,,,,,
2021-01-21 02:28:29,1352080598236495873,870453485984129028,AjaforCongress,2021-02-15 00:00:00,False,False,,,,,
2021-01-21 00:49:51,1352055775343030274,25919401,AllenLEllison,2021-02-09 00:00:00,False,False,,,,,
2021-01-21 01:21:57,1352063853790711808,25919401,AllenLEllison,2021-02-15 00:00:00,False,False,,,,,
2021-01-21 14:47:45,1352266641128624135,25919401,AllenLEllison,2021-02-09 00:00:00,False,False,,,,,
2021-01-21 00:58:36,1352057976182476800,25919401,AllenLEllison,2021-02-12 00:00:00,False,False,,,,,
2021-01-21 02:00:00,1352073429353177089,25919401,AllenLEllison,2021-02-15 00:00:00,False,False,,,,,
2021-01-21 01:24:35,1352064518411726852,25919401,AllenLEllison,2021-02-11 00:00:00,False,False,,,,,
2021-01-21 01:53:32,1352071801149513729,25919401,AllenLEllison,2021-02-12 00:00:00,False,False,,,,,
2021-01-21 01:18:13,1352062915927564289,25919401,AllenLEllison,2021-02-18 00:00:00,False,False,,,,,
2021-01-21 00:48:28,1352055427731755014,25919401,AllenLEllison,2021-02-19 00:00:00,False,False,,,,,
2021-01-21 01:02:23,1352058929019301890,25919401,AllenLEllison,2021-02-14 00:00:00,False,False,,,,,
2021-01-21 01:49:21,1352070748274384899,25919401,AllenLEllison,2021-02-10 00:00:00,False,False,,,,,
2021-01-21 00:20:31,1352048395339395072,25919401,AllenLEllison,2021-02-16 00:00:00,False,False,,,,,
2021-01-21 00:54:18,1352056897004851216,25919401,AllenLEllison,2021-02-12 00:00:00,False,False,,,,,
2021-01-21 19:28:06,1352337193466028038,25919401,AllenLEllison,2021-02-10 00:00:00,False,False,,,,,
2021-01-21 01:15:40,1352062270482821123,25919401,AllenLEllison,2021-02-12 00:00:00,False,False,,,,,
2021-01-21 12:50:18,1352237084526964740,2783231383,AmyMcGrathKY,2021-02-09 00:00:00,False,False,,,,,
2021-01-21 02:57:47,1352087969423876096,2783231383,AmyMcGrathKY,2021-02-10 00:00:00,False,False,,,,,
